domain_name,Carleton_response_addresses,Google_response_addresses,TTL_Carleton,TTL_Google
calendarpushsubscription-pa.googleapis.com.,142.250.191.234 142.250.190.74 142.250.190.138 142.250.191.138 142.250.190.106 172.217.4.74 142.250.191.202 142.250.190.42 172.217.1.106 142.250.191.170 142.250.191.106 142.251.34.234 142.251.32.10 142.250.190.10 172.217.2.42,142.250.191.170 142.250.191.106 142.250.191.234 142.250.191.202 172.217.2.42 142.250.190.74 142.250.190.138 172.217.4.42 142.250.190.106 142.251.34.234 172.217.5.10 142.250.190.10 142.250.191.138 142.251.32.10 142.250.190.42 172.217.1.106,181,300
tizen.org.,52.84.127.16 52.84.127.128 52.84.127.43 52.84.127.83,52.84.127.16 52.84.127.128 52.84.127.83 52.84.127.43,60,60
contextweb.com.,74.214.194.128,74.214.194.128,244,181
heytapmobi.com.,49.7.118.241,49.7.118.241,480,600
loopme.me.,35.206.149.249,35.206.149.249,60,60
nflxso.net.,,,-1,-1
usabilla.com.,52.84.127.51 52.84.127.74 52.84.127.78 52.84.127.104,52.84.127.78 52.84.127.51 52.84.127.74 52.84.127.104,60,60
edgekey.net.,,,-1,-1
twimg.com.,,,-1,-1
int08h.com.,151.101.1.195 151.101.65.195,151.101.1.195 151.101.65.195,181,300
locationhistoryaggregates-pa.googleapis.com.,142.250.191.202 142.250.190.74 142.250.191.234 142.250.191.106 142.250.190.42 142.250.190.106 172.217.4.42 142.250.191.138 142.251.32.10 142.250.190.10 142.250.190.138 172.217.2.42 172.217.4.74 142.250.191.170 142.251.34.234,142.250.190.42 172.217.5.10 172.217.4.42 142.251.32.10 142.250.190.74 142.250.190.10 142.250.191.106 172.217.4.202 172.217.1.106 172.217.2.42 142.250.191.234 142.250.190.138 142.250.190.106 142.251.34.234 142.250.191.170 172.217.4.74,201,300
globalsign.com.,146.75.34.133,104.18.21.226 104.18.20.226,8,284
speechs3proto2-pa.googleapis.com.,142.250.190.106 142.250.190.138 142.250.191.234 172.217.5.10 142.251.32.10 172.217.4.74 142.250.191.106 142.250.190.10 142.250.191.138 172.217.4.42 172.217.2.42 142.250.191.202 142.250.190.74 172.217.1.106 142.250.191.170 142.250.190.42,142.251.32.10 142.250.191.106 142.250.190.10 142.250.190.138 142.250.190.42 142.250.191.138 172.217.4.74 142.251.34.234 142.250.190.74 172.217.2.42 142.250.191.234 172.217.1.106 142.250.191.170 172.217.4.42 142.250.191.202 142.250.190.106,180,300
ndcpp-os.com.,,,-1,-1
liadm.com.,,,-1,-1
msn.cn.,204.79.197.235,204.79.197.235,3481,3586
omnitagjs.com.,,,-1,-1
avcdn.net.,,,-1,-1
presage.io.,217.70.184.55,217.70.184.55,6903,5499
ogads-pa.googleapis.com.,142.251.32.10 142.250.190.10 142.251.34.234 142.250.191.170 142.250.191.202 142.250.191.234 142.250.190.42 172.217.1.106 142.250.190.138 172.217.5.10 142.250.191.106 142.250.190.106 142.250.191.138 172.217.2.42 172.217.4.74 172.217.4.202,142.250.191.202 142.250.191.234 142.250.190.42 142.250.190.10 142.250.190.106 172.217.4.74 142.250.191.170 172.217.1.106 172.217.4.202 142.250.190.74 142.251.32.10 172.217.2.42 142.250.190.138 142.250.191.106 172.217.4.42 142.250.191.138,201,300
eu-1-id5-sync.com.,104.26.9.8 172.67.75.89 104.26.8.8,172.67.75.89 104.26.8.8 104.26.9.8,181,300
securetoken.googleapis.com.,142.250.191.170 172.217.4.42 142.250.191.234 142.251.32.10 142.250.190.42 142.250.190.74 142.250.190.138 142.250.191.106 142.250.190.106 172.217.2.42 142.250.191.138 142.250.190.10 172.217.5.10 172.217.1.106 142.250.191.202 172.217.4.74,172.217.4.74 172.217.2.42 142.250.190.42 142.250.191.170 142.250.191.202 142.250.190.138 142.250.190.10 142.250.191.138 172.217.4.202 142.250.191.106 172.217.1.106 142.251.32.10 172.217.5.10 142.250.191.234 142.251.34.234 142.250.190.106,166,300
drivefrontend-pa.googleapis.com.,142.250.190.74 142.250.191.170 172.217.2.42 142.250.190.10 142.250.190.138 172.217.1.106 142.250.191.138 142.250.191.234 142.251.32.10 172.217.4.202 142.250.190.106 172.217.4.74 142.250.191.202 142.250.191.106 142.250.190.42 142.251.34.234,172.217.4.74 142.250.191.202 172.217.1.106 142.250.191.138 142.250.190.74 142.251.32.10 142.250.190.42 142.250.190.106 172.217.4.202 142.250.191.234 172.217.5.10 142.250.190.138 172.217.2.42 142.250.191.106 142.251.34.234 142.250.190.10,71,300
typekit.net.,216.146.46.10 216.146.46.11,216.146.46.11 216.146.46.10,60,9
gsu.edu.,104.239.136.235,104.239.136.235,3481,3600
example.com.,23.220.75.232 23.220.75.245 23.192.228.80 23.215.0.136 23.192.228.84 23.215.0.138,23.192.228.84 23.192.228.80 23.215.0.138 23.220.75.245 23.220.75.232 23.215.0.136,103,7
mediago.io.,44.226.163.226 44.238.106.102 34.217.235.21 35.85.93.41,34.217.235.21 44.238.106.102 44.226.163.226 35.85.93.41,181,125
sitescout.com.,208.113.159.153,208.113.159.153,182,300
liftoff-creatives.io.,,,-1,-1
gvt3.com.,,,-1,-1
recaptcha.net.,142.251.32.3,142.250.191.227,181,300
scdn.co.,,,-1,-1
tiktokw.us.,,,-1,-1
oaistatic.com.,172.64.146.98 104.18.41.158,104.18.41.158 172.64.146.98,182,300
pure.cloud.,,,-1,-1
spotifycdn.com.,,,-1,-1
clienttracing-pa.googleapis.com.,142.250.190.42 172.217.1.106 142.250.191.170 142.250.191.234 172.217.4.42 172.217.5.10 142.250.190.74 142.251.34.234 142.250.190.138 142.250.190.106 172.217.2.42 142.250.191.106 142.250.191.202 172.217.4.74 142.250.191.138 142.251.32.10,142.250.191.138 172.217.4.74 142.250.191.106 142.250.190.42 142.250.190.138 142.251.32.10 142.250.191.202 142.250.190.106 172.217.2.42 142.250.190.74 142.250.191.234 172.217.4.42 142.250.190.10 142.251.34.234 172.217.1.106 142.250.191.170,104,300
readaloud.googleapis.com.,172.217.2.42 142.250.191.170 142.250.190.106 142.250.191.106 142.250.191.202 142.251.34.234 142.250.190.138 142.251.32.10 142.250.190.74 172.217.5.10 142.250.191.234 142.250.191.138 172.217.4.74 142.250.190.10 172.217.4.42 142.250.190.42,172.217.4.74 142.251.32.10 142.250.190.42 142.250.190.74 142.250.190.138 142.250.191.202 142.250.190.106 142.250.191.234 142.250.191.138 142.250.190.10 172.217.5.10 172.217.4.202 142.250.191.170 142.251.34.234 142.250.191.106,210,182
bing.net.,204.79.197.200,204.79.197.200,3482,2522
yimg.com.,13.248.158.7 76.223.84.192,76.223.84.192 13.248.158.7,1081,1200
tiktokrow-cdn.com.,,,-1,-1
intercom.io.,18.160.102.105 18.160.102.123 18.160.102.103 18.160.102.120,18.160.102.105 18.160.102.103 18.160.102.120 18.160.102.123,60,60
firebaseinappmessaging.googleapis.com.,142.250.191.202 172.217.5.10 142.251.32.10 142.250.190.106 142.250.190.10 142.250.190.74 142.250.190.138 172.217.2.42 142.250.191.138 172.217.4.42 142.250.190.42 142.250.191.170 142.250.191.234 142.250.191.106 172.217.1.106,142.250.191.106 142.250.191.138 172.217.5.10 142.250.190.10 172.217.1.106 142.250.191.170 172.217.4.42 142.251.34.234 142.250.190.42 142.250.191.234 142.250.191.202 142.251.32.10 172.217.2.42 172.217.4.202 172.217.4.74 142.250.190.138,132,182
footprintdns.com.,,,-1,-1
sentinelone.net.,,,-1,-1
firestore.googleapis.com.,142.251.32.10,142.250.190.10,104,300
sectigo.com.,91.199.212.90,91.199.212.90,3483,1184
roblox.com.,128.116.48.3,128.116.95.3,22,34
simpli.fi.,141.193.213.30,141.193.213.30,60,60
liftoff.io.,141.193.213.21 141.193.213.20,141.193.213.21 141.193.213.20,183,300
ln-msedge.net.,,,-1,-1
me.com.,17.253.142.4,17.253.142.4,182,201
unpkg.com.,104.18.1.22 104.18.0.22,104.18.0.22 104.18.1.22,182,300
shalltry.com.,99.84.203.44 99.84.203.35 99.84.203.125 99.84.203.85,99.84.203.125 99.84.203.85 99.84.203.44 99.84.203.35,60,60
yahoodns.net.,,,-1,-1
deepintent.com.,141.193.213.20 141.193.213.21,141.193.213.21 141.193.213.20,183,300
fb.com.,157.240.26.35,157.240.26.35,60,60
mozilla.org.,35.190.14.201,35.190.14.201,547,248
cdngslb.com.,115.238.23.241,115.238.23.241,182,300
avast.com.,23.209.61.95,23.209.61.95,20,20
rocket-cdn.com.,,,-1,-1
richaudience.com.,62.36.229.31,62.36.229.31,3482,3423
byteoversea.com.,,,-1,-1
ureca-lab.com.,,,-1,-1
clevertap-prod.com.,3.166.118.97 3.166.118.113 3.166.118.23 3.166.118.42,3.166.118.42 3.166.118.97 3.166.118.113 3.166.118.23,60,60
ondevicesafety-pa.googleapis.com.,142.250.191.170 172.217.4.74 142.250.190.74 142.250.191.106 142.251.32.10 172.217.2.42 142.250.191.202 142.250.190.106 142.250.191.138 142.250.191.234 142.250.190.138 142.250.190.10 142.250.190.42 142.251.34.234,142.251.34.234 142.250.191.106 172.217.2.42 142.250.191.202 142.250.191.234 142.250.190.106 172.217.4.202 142.250.190.138 142.250.191.170 142.251.32.10 172.217.5.10 142.250.190.42 172.217.1.106 142.250.190.10 142.250.191.138 142.250.190.74,183,183
adkernel.com.,141.193.213.11 141.193.213.10,141.193.213.11 141.193.213.10,70259,17304
cisco.com.,72.163.4.185,72.163.4.185,1683,174
tencent-cloud.net.,0.0.0.1,0.0.0.1,183,300
wikipedia.org.,208.80.154.224,208.80.154.224,180,63
myqcloud.com.,0.0.0.1,0.0.0.1,3483,3600
bytedance.map.fastly.net.,151.101.150.73,146.75.78.73,26,60
asjo.org.,212.237.178.116,212.237.178.116,3483,3600
ttlivecdn.com.,,,-1,-1
google.us.,142.250.191.228,142.250.190.132,183,300
google.com.hk.,142.250.191.99,142.250.190.3,184,300
content-storage-upload.googleapis.com.,74.125.201.207 64.233.181.207 172.217.214.207 108.177.121.207 192.178.209.207 173.194.195.207 74.125.69.207 142.251.184.207 173.194.193.207 74.125.126.207 74.125.202.207 64.233.179.207 74.125.132.207 142.251.189.207 173.194.194.207 192.178.210.207,74.125.132.207 64.233.179.207 172.217.214.207 74.125.69.207 74.125.126.207 74.125.202.207 209.85.200.207 173.194.194.207 173.194.193.207 74.125.201.207 64.233.181.207 142.251.183.207 192.178.209.207 173.194.195.207 173.194.206.207 142.250.152.207,184,184
visualstudio.com.,150.171.73.16 150.171.74.16,150.171.74.16 150.171.73.16,3485,2981
instantmessaging-pa-jms-us.googleapis.com.,216.239.36.158,216.239.36.158,64,300
seedtag.com.,34.140.37.23,34.140.37.23,184,300
decibelinsight.net.,,,-1,-1
spotxchange.com.,198.54.12.134 198.54.12.133,,484,-1
lazcdn.com.,,,-1,-1
yellowblue.io.,,,-1,-1
gos-gsp.io.,,,-1,-1
androidpay-users-pa.googleapis.com.,172.217.68.92,142.250.111.92,185,185
microsoft365.com.,13.107.6.156,13.107.6.156,185,54
ovscdns.com.,,,-1,-1
gumgum.com.,3.166.118.14 3.166.118.50 3.166.118.4 3.166.118.107,3.166.118.50 3.166.118.14 3.166.118.4 3.166.118.107,60,60
rfihub.com.,,,-1,-1
cloudfront.net.,,,-1,-1
mfadsrvr.com.,35.170.8.51,35.170.8.51,185,122
alibaba.com.,47.246.137.105 47.246.131.198 47.246.136.52 47.246.136.156,47.246.137.105 47.246.136.156 47.246.136.52 47.246.131.198,5,120
ipredictive.com.,,,-1,-1
ibytedtos.com.,,,-1,-1
optimizely.com.,217.114.94.2,217.114.94.2,186,300
aadrm.com.,,,-1,-1
connatix.com.,52.84.127.13 52.84.127.80 52.84.127.106 52.84.127.40,52.84.127.13 52.84.127.40 52.84.127.80 52.84.127.106,60,60
feedback-pa.googleapis.com.,142.251.34.234 142.250.190.10 142.250.191.202 142.250.191.106 172.217.4.202 142.250.190.42 142.250.190.138 142.250.190.74 142.250.191.138 142.251.32.10 142.250.190.106 142.250.191.234 172.217.1.106 142.250.191.170,172.217.4.42 172.217.5.10 142.250.190.10 172.217.4.74 142.250.190.74 172.217.2.42 142.250.191.234 142.250.191.106 142.250.190.106 142.250.191.170 142.251.34.234 142.250.191.138 172.217.1.106 142.251.32.10 142.250.191.202 142.250.190.138,44,300
4dex.io.,,,-1,-1
fontawesome.com.,104.18.23.52,104.18.22.52,186,243
shopee.co.th.,147.136.172.149,147.136.172.149,60,60
amazontrust.com.,18.160.181.46 18.160.181.72 18.160.181.18 18.160.181.11,18.160.181.18 18.160.181.46 18.160.181.11 18.160.181.72,60,60
photos.googleapis.com.,142.250.190.42 172.217.4.42 172.217.1.106 172.217.4.202 142.250.190.138 142.251.32.10 142.250.191.106 172.217.5.10 142.251.34.234 142.250.190.106 142.250.190.74 142.250.191.138 142.250.191.234 142.250.191.170 142.250.191.202 172.217.2.42,142.250.190.74 142.250.191.234 142.250.191.138 172.217.4.42 172.217.4.202 142.250.191.106 142.250.190.138 142.250.190.42 172.217.2.42 142.250.191.202 142.251.32.10 142.251.34.234 142.250.190.106 172.217.1.106 142.250.190.10 142.250.191.170,300,300
hpdaas.com.,3.5.85.115 52.218.205.154 3.5.86.144 52.92.163.35 52.218.178.171 3.5.82.248 3.5.78.5 52.218.184.114,52.92.128.43 52.92.210.203 3.5.77.138 52.92.241.155 52.92.242.243 52.92.211.75 52.92.177.211 3.5.84.0,5,5
google.com.br.,142.251.34.227,142.251.34.227,187,300
mcafee.com.,100.20.214.93,100.20.214.93,187,151
mookie1.com.,23.205.89.150 23.205.89.193,23.217.55.16 23.217.55.13,20,20
postrelease.com.,52.36.224.135,52.36.224.135,60,50
tremorhub.com.,18.160.181.60 18.160.181.96 18.160.181.15 18.160.181.35,18.160.181.96 18.160.181.60 18.160.181.35 18.160.181.15,60,60
grammarly.com.,99.84.203.59 99.84.203.33 99.84.203.84 99.84.203.125,99.84.203.125 99.84.203.84 99.84.203.33 99.84.203.59,60,60
mathtag.com.,,,-1,-1
adgrx.com.,,,-1,-1
microsoftpersonalcontent.com.,,,-1,-1
amazon.dev.,,,-1,-1
tiqcdn.com.,,,-1,-1
singular.net.,141.193.213.10 141.193.213.11,141.193.213.10 141.193.213.11,60,60
dynatrace.com.,35.168.93.157 52.86.208.141,35.168.93.157 52.86.208.141,3488,537
ads-twitter.com.,,,-1,-1
mozilla.com.,35.190.14.201,35.190.14.201,488,522
